idx,label,predict,radius,pA_lower,correct,abstain,seconds
0,3,3,0.496800,0.976550,1,0,2.055
20,7,7,0.524934,0.982124,1,0,1.662
40,4,4,0.812860,0.999426,1,0,1.661
60,7,7,0.934782,0.999908,1,0,1.660
80,8,8,0.788269,0.999192,1,0,1.660
100,4,4,0.048249,0.576519,1,0,1.660
120,8,8,0.370324,0.930736,1,0,1.661
140,6,6,0.196557,0.784133,1,0,1.660
160,2,2,0.627795,0.993984,1,0,1.662
180,0,0,0.560216,0.987483,1,0,1.663
200,5,5,0.197926,0.785734,1,0,1.663
220,7,5,0.552513,0.986449,0,0,1.665
240,1,1,0.952864,0.999931,1,0,1.664
260,8,8,0.579604,0.989787,1,0,1.663
280,9,9,0.897816,0.999835,1,0,1.663
300,6,6,0.934782,0.999908,1,0,1.664
320,3,3,0.410050,0.949518,1,0,1.662
340,2,-1,0.000000,0.419101,0,1,1.664
360,9,9,0.702170,0.997513,1,0,1.664
380,6,6,0.323817,0.902386,1,0,1.664
400,9,9,0.934782,0.999908,1,0,1.665
420,4,4,0.541504,0.984845,1,0,1.663
440,1,1,0.413779,0.951049,1,0,1.665
460,5,5,0.824751,0.999515,1,0,1.665
480,8,-1,0.000000,0.499309,0,1,1.664
500,4,4,0.196763,0.784374,1,0,1.664
520,5,5,0.785068,0.999156,1,0,1.665
540,1,1,0.680448,0.996754,1,0,1.663
560,0,0,0.952864,0.999931,1,0,1.664
580,4,4,0.566438,0.988267,1,0,1.665
600,8,8,0.699696,0.997435,1,0,1.665
620,7,7,0.635787,0.994507,1,0,1.664
640,5,3,0.273907,0.863379,0,0,1.666
660,9,9,0.837004,0.999593,1,0,1.666
680,9,-1,0.000000,0.350658,0,1,1.665
700,7,7,0.952864,0.999931,1,0,1.663
720,4,4,0.280965,0.869463,1,0,1.665
740,2,5,0.238555,0.830014,0,0,1.665
760,3,3,0.322178,0.901251,1,0,1.664
780,9,9,0.789369,0.999204,1,0,1.664
800,7,7,0.952864,0.999931,1,0,1.664
820,6,6,0.275250,0.864551,1,0,1.665
840,7,7,0.952864,0.999931,1,0,1.663
860,4,4,0.430361,0.957415,1,0,1.662
880,8,8,0.858245,0.999702,1,0,1.661
900,2,-1,0.000000,0.474944,0,1,1.664
920,6,6,0.392735,0.941902,1,0,1.665
940,9,9,0.719672,0.998003,1,0,1.664
960,9,9,0.080902,0.626883,1,0,1.664
980,2,-1,0.000000,0.439833,0,1,1.662
1000,5,5,0.805494,0.999363,1,0,1.664
1020,1,1,0.952864,0.999931,1,0,1.664
1040,7,5,0.137391,0.708691,0,0,1.666
1060,9,9,0.952864,0.999931,1,0,1.663
1080,6,6,0.367767,0.929364,1,0,1.664
1100,7,0,0.207794,0.797063,0,0,1.664
1120,5,5,0.308225,0.891193,1,0,1.664
1140,6,6,0.200231,0.788412,1,0,1.661
1160,8,8,0.233981,0.825344,1,0,1.664
1180,3,3,0.623961,0.993717,1,0,1.663
1200,8,8,0.687699,0.997027,1,0,1.662
1220,9,3,0.030805,0.549034,0,0,1.662
1240,2,2,0.163469,0.743404,1,0,1.664
1260,1,9,0.020295,0.532350,0,0,1.664
1280,3,3,0.199206,0.787224,1,0,1.663
1300,4,3,0.498819,0.976994,0,0,1.663
1320,7,7,0.717918,0.997958,1,0,1.664
1340,1,1,0.814434,0.999438,1,0,1.665
1360,7,7,0.247541,0.838953,1,0,1.664
1380,4,4,0.275215,0.864521,1,0,1.664
1400,5,3,0.044597,0.570790,0,0,1.661
1420,4,4,0.277865,0.866815,1,0,1.662
1440,0,0,0.056526,0.589440,1,0,1.662
1460,6,6,0.952864,0.999931,1,0,1.662
1480,1,1,0.479113,0.972346,1,0,1.661
1500,1,1,0.952864,0.999931,1,0,1.662
1520,7,7,0.730571,0.998263,1,0,1.663
1540,8,8,0.952864,0.999931,1,0,1.662
1560,7,7,0.952864,0.999931,1,0,1.662
1580,6,1,0.128079,0.695785,0,0,1.662
1600,8,9,0.065317,0.603057,0,0,1.662
1620,5,3,0.061148,0.596614,0,0,1.663
1640,7,7,0.172273,0.754617,1,0,1.665
1660,3,3,0.680170,0.996743,1,0,1.663
1680,6,6,0.596815,0.991513,1,0,1.662
1700,5,3,0.067913,0.607055,0,0,1.662
1720,4,4,0.446602,0.962983,1,0,1.662
1740,1,1,0.726129,0.998161,1,0,1.663
1760,0,0,0.728566,0.998217,1,0,1.662
1780,7,7,0.593443,0.991196,1,0,1.662
1800,4,4,0.334472,0.909534,1,0,1.661
1820,8,8,0.063772,0.600672,1,0,1.663
1840,8,-1,0.000000,0.449962,0,1,1.661
1860,8,8,0.881310,0.999788,1,0,1.662
1880,1,1,0.952864,0.999931,1,0,1.661
1900,8,8,0.952864,0.999931,1,0,1.661
1920,2,2,0.952864,0.999931,1,0,1.662
1940,5,5,0.952864,0.999931,1,0,1.661
1960,2,5,0.103096,0.659970,0,0,1.663
1980,9,9,0.952864,0.999931,1,0,1.662
2000,1,1,0.416368,0.952091,1,0,1.663
2020,9,9,0.952864,0.999931,1,0,1.663
2040,0,0,0.952864,0.999931,1,0,1.661
2060,5,3,0.446887,0.963075,0,0,1.663
2080,1,1,0.189057,0.775244,1,0,1.662
2100,2,2,0.796353,0.999277,1,0,1.661
2120,4,8,0.077012,0.620978,0,0,1.662
2140,9,9,0.952864,0.999931,1,0,1.663
2160,0,0,0.469676,0.969858,1,0,1.662
2180,4,4,0.489564,0.974900,1,0,1.660
2200,0,0,0.130013,0.698486,1,0,1.661
2220,1,1,0.904723,0.999852,1,0,1.662
2240,9,9,0.087466,0.636779,1,0,1.662
2260,4,4,0.273250,0.862803,1,0,1.661
2280,4,-1,0.000000,0.363391,0,1,1.662
2300,3,-1,0.000000,0.354127,0,1,1.661
2320,5,3,0.256541,0.847593,0,0,1.665
2340,7,7,0.891728,0.999819,1,0,1.662
2360,7,7,0.602454,0.992020,1,0,1.663
2380,8,8,0.775323,0.999037,1,0,1.661
2400,0,0,0.952864,0.999931,1,0,1.662
2420,8,-1,0.000000,0.294385,0,1,1.662
2440,7,7,0.552588,0.986460,1,0,1.662
2460,9,9,0.002412,0.503849,1,0,1.662
2480,8,8,0.740855,0.998479,1,0,1.662
2500,4,6,0.096756,0.650630,0,0,1.661
2520,1,1,0.308225,0.891193,1,0,1.662
2540,2,3,0.149898,0.725611,0,0,1.662
2560,7,7,0.242036,0.833514,1,0,1.661
2580,6,3,0.110599,0.670898,0,0,1.663
2600,8,8,0.912747,0.999869,1,0,1.661
2620,1,1,0.464985,0.968553,1,0,1.663
2640,7,7,0.886269,0.999804,1,0,1.661
2660,3,3,0.248731,0.840113,1,0,1.661
2680,0,0,0.952864,0.999931,1,0,1.662
2700,9,1,0.067086,0.605783,0,0,1.662
2720,3,3,0.446823,0.963055,1,0,1.661
2740,1,1,0.241482,0.832959,1,0,1.661
2760,2,2,0.570707,0.988780,1,0,1.660
2780,7,7,0.922411,0.999888,1,0,1.660
2800,4,4,0.427127,0.956229,1,0,1.661
2820,6,6,0.904723,0.999852,1,0,1.661
2840,3,3,0.952864,0.999931,1,0,1.662
2860,5,5,0.147126,0.721903,1,0,1.661
2880,4,4,0.762008,0.998848,1,0,1.662
2900,3,-1,0.000000,0.366173,0,1,1.661
2920,2,2,0.265980,0.856317,1,0,1.661
2940,3,3,0.202325,0.790829,1,0,1.661
2960,9,9,0.087018,0.636107,1,0,1.660
2980,8,8,0.808346,0.999388,1,0,1.660
3000,5,5,0.783011,0.999132,1,0,1.661
3020,1,1,0.797587,0.999289,1,0,1.662
3040,7,7,0.952864,0.999931,1,0,1.661
3060,7,7,0.738016,0.998422,1,0,1.661
3080,1,1,0.629532,0.994101,1,0,1.661
