idx,label,predict,radius,pA_lower,correct,abstain,seconds
0,3,3,0.306563,0.730104,1,0,2.059
20,7,7,0.351065,0.758701,1,0,1.665
40,4,4,0.352389,0.759526,1,0,1.666
60,7,7,1.088383,0.985251,1,0,1.666
80,8,8,0.783764,0.941504,1,0,1.667
100,4,-1,0.000000,0.427948,0,1,1.665
120,8,8,0.548761,0.863793,1,0,1.666
140,6,6,0.089754,0.571231,1,0,1.666
160,2,2,0.978952,0.974879,1,0,1.666
180,0,0,1.143200,0.988885,1,0,1.668
200,5,5,0.311489,0.733350,1,0,1.666
220,7,7,0.183940,0.643519,1,0,1.666
240,1,1,1.869563,0.999908,1,0,1.668
260,8,8,0.307674,0.730837,1,0,1.666
280,9,9,1.587894,0.999253,1,0,1.668
300,6,6,0.900194,0.964100,1,0,1.666
320,3,3,0.436152,0.808478,1,0,1.666
340,2,-1,0.000000,0.421737,0,1,1.665
360,9,9,0.314600,0.735391,1,0,1.666
380,6,6,0.344530,0.754607,1,0,1.666
400,9,9,1.207584,0.992136,1,0,1.668
420,4,4,0.905110,0.964869,1,0,1.667
440,1,1,0.734145,0.928987,1,0,1.669
460,5,5,1.297049,0.995258,1,0,1.668
480,8,-1,0.000000,0.394985,0,1,1.668
500,4,6,0.141112,0.611114,0,0,1.667
520,5,5,0.528495,0.854742,1,0,1.668
540,1,1,0.419866,0.799471,1,0,1.669
560,0,0,1.246425,0.993664,1,0,1.668
580,4,4,0.387892,0.781062,1,0,1.668
600,8,8,0.668633,0.909432,1,0,1.668
620,7,7,0.157731,0.623795,1,0,1.667
640,5,3,0.678908,0.912739,0,0,1.667
660,9,9,0.962221,0.972850,1,0,1.667
680,9,-1,0.000000,0.300300,0,1,1.669
700,7,7,0.714754,0.923571,1,0,1.669
720,4,-1,0.000000,0.300270,0,1,1.665
740,2,5,0.779905,0.940598,0,0,1.667
760,3,3,0.225046,0.673678,1,0,1.665
780,9,9,0.549989,0.864329,1,0,1.666
800,7,7,1.844823,0.999888,1,0,1.666
820,6,6,0.099838,0.579133,1,0,1.667
840,7,7,1.399393,0.997435,1,0,1.668
860,4,4,0.572515,0.873902,1,0,1.666
880,8,8,1.022331,0.979556,1,0,1.667
900,2,-1,0.000000,0.482551,0,1,1.665
920,6,6,0.388182,0.781233,1,0,1.666
940,9,-1,0.000000,0.299742,0,1,1.668
960,9,9,0.986621,0.975766,1,0,1.666
980,2,6,0.206424,0.660141,0,0,1.666
1000,5,5,1.809446,0.999852,1,0,1.667
1020,1,1,1.300195,0.995344,1,0,1.667
1040,7,5,1.301789,0.995387,0,0,1.668
1060,9,9,1.638784,0.999476,1,0,1.666
1080,6,6,0.754088,0.934245,1,0,1.667
1100,7,7,0.239467,0.684007,1,0,1.667
1120,5,2,0.454674,0.818417,0,0,1.665
1140,6,6,0.297959,0.724385,1,0,1.665
1160,8,8,0.305136,0.729159,1,0,1.666
1180,3,3,0.942912,0.970341,1,0,1.665
1200,8,8,0.987074,0.975818,1,0,1.666
1220,9,3,0.081870,0.565032,0,0,1.665
1240,2,6,0.642874,0.900734,0,0,1.665
1260,1,1,0.123901,0.597856,1,0,1.666
1280,3,3,0.520030,0.850844,1,0,1.665
1300,4,3,0.329204,0.744862,0,0,1.665
1320,7,2,0.199910,0.655355,0,0,1.666
1340,1,1,0.749273,0.933004,1,0,1.668
1360,7,7,0.916181,0.966551,1,0,1.666
1380,4,5,0.646431,0.901971,0,0,1.667
1400,5,3,0.277906,0.710831,0,0,1.666
1420,4,4,0.073982,0.558815,1,0,1.665
1440,0,0,0.342535,0.753350,1,0,1.666
1460,6,6,1.125820,0.987827,1,0,1.667
1480,1,1,0.171862,0.634473,1,0,1.667
