idx,label,predict,radius,pA_lower,correct,abstain,seconds
0,3,-1,0.000000,0.237161,0,1,2.046
20,7,9,0.111625,0.544440,0,0,1.652
40,4,-1,0.000000,0.355932,0,1,1.651
60,7,7,0.443754,0.671390,1,0,1.652
80,8,8,0.564090,0.713654,1,0,1.651
100,4,-1,0.000000,0.352093,0,1,1.653
120,8,8,0.685229,0.753400,1,0,1.653
140,6,-1,0.000000,0.356720,0,1,1.653
160,2,-1,0.000000,0.484231,0,1,1.653
180,0,0,0.878863,0.810262,1,0,1.653
200,5,3,0.262801,0.603648,0,0,1.653
220,7,7,2.049720,0.979804,1,0,1.653
240,1,1,1.804430,0.964418,1,0,1.653
260,8,-1,0.000000,0.469177,0,1,1.653
280,9,9,2.457509,0.993005,1,0,1.654
300,6,6,0.525390,0.700344,1,0,1.654
320,3,3,0.039218,0.515642,1,0,1.655
340,2,4,0.060611,0.524165,0,0,1.654
360,9,-1,0.000000,0.405584,0,1,1.654
380,6,6,0.253426,0.600031,1,0,1.654
400,9,9,1.366563,0.914119,1,0,1.654
420,4,4,0.231184,0.591414,1,0,1.654
440,1,1,0.628494,0.735160,1,0,1.654
460,5,5,1.182506,0.881498,1,0,1.654
480,8,9,0.581957,0.719702,0,0,1.654
500,4,6,0.538703,0.704954,0,0,1.654
520,5,5,0.348714,0.636348,1,0,1.654
540,1,-1,0.000000,0.320669,0,1,1.654
560,0,0,1.541213,0.938367,1,0,1.654
580,4,4,0.201955,0.580024,1,0,1.654
600,8,8,0.505896,0.693535,1,0,1.654
620,7,-1,0.000000,0.414349,0,1,1.654
640,5,3,1.514009,0.934988,0,0,1.654
660,9,9,2.425087,0.992348,1,0,1.654
680,9,-1,0.000000,0.367689,0,1,1.654
700,7,7,0.599592,0.725611,1,0,1.654
720,4,-1,0.000000,0.384937,0,1,1.654
740,2,5,0.722640,0.765050,0,0,1.655
760,3,9,0.099843,0.539766,0,0,1.655
780,9,9,0.030437,0.512141,1,0,1.654
800,7,7,2.008520,0.977706,1,0,1.654
820,6,-1,0.000000,0.323718,0,1,1.653
840,7,7,3.132045,0.999132,1,0,1.653
860,4,4,0.910151,0.818629,1,0,1.653
880,8,8,2.148918,0.984180,1,0,1.653
900,2,-1,0.000000,0.346002,0,1,1.653
920,6,-1,0.000000,0.384787,0,1,1.653
940,9,9,0.869719,0.807773,1,0,1.653
960,9,9,1.692840,0.954757,1,0,1.653
980,2,6,1.063563,0.856237,0,0,1.653
1000,5,5,2.495244,0.993706,1,0,1.653
1020,1,1,0.544651,0.707003,1,0,1.653
1040,7,5,1.276515,0.899113,0,0,1.653
1060,9,9,1.416890,0.921743,1,0,1.654
1080,6,6,1.390109,0.917752,1,0,1.654
1100,7,8,0.584316,0.720496,0,0,1.652
1120,5,-1,0.000000,0.340031,0,1,1.653
1140,6,6,0.295741,0.616286,1,0,1.653
1160,8,8,0.032042,0.512781,1,0,1.653
1180,3,3,1.273995,0.898667,1,0,1.652
1200,8,8,0.892626,0.813971,1,0,1.653
1220,9,-1,0.000000,0.301853,0,1,1.652
1240,2,6,0.981855,0.836914,0,0,1.652
1260,1,9,0.676741,0.750715,0,0,1.652
1280,3,-1,0.000000,0.407041,0,1,1.652
1300,4,3,0.349329,0.636579,0,0,1.652
1320,7,2,0.254438,0.600421,0,0,1.652
1340,1,1,1.103184,0.865026,1,0,1.652
1360,7,7,0.564947,0.713945,1,0,1.654
1380,4,5,0.740605,0.770534,0,0,1.652
1400,5,-1,0.000000,0.331301,0,1,1.652
1420,4,-1,0.000000,0.485381,0,1,1.653
1440,0,0,0.056415,0.522495,1,0,1.653
1460,6,6,0.495540,0.689890,1,0,1.652
1480,1,5,0.022035,0.508790,0,0,1.654
1500,1,1,0.384341,0.649637,1,0,1.653
1520,7,7,0.660601,0.745566,1,0,1.653
1540,8,8,1.162240,0.877431,1,0,1.653
1560,7,7,2.768171,0.997181,1,0,1.653
1580,6,1,0.403745,0.656800,0,0,1.653
1600,8,9,0.043961,0.517532,0,0,1.653
1620,5,-1,0.000000,0.400993,0,1,1.653
1640,7,3,0.279193,0.609952,0,0,1.652
1660,3,-1,0.000000,0.429146,0,1,1.651
1680,6,6,2.041944,0.979421,1,0,1.651
1700,5,2,0.501953,0.692150,0,0,1.652
1720,4,-1,0.000000,0.480712,0,1,1.651
1740,1,9,0.041602,0.516592,0,0,1.651
1760,0,-1,0.000000,0.466879,0,1,1.651
1780,7,7,0.453603,0.674943,1,0,1.651
1800,4,8,0.231854,0.591674,0,0,1.651
1820,8,-1,0.000000,0.432831,0,1,1.652
1840,8,-1,0.000000,0.383281,0,1,1.652
1860,8,8,2.137780,0.983733,1,0,1.650
1880,1,1,0.576684,0.717924,1,0,1.651
1900,8,8,1.864898,0.968902,1,0,1.651
1920,2,2,0.782211,0.782955,1,0,1.651
1940,5,-1,0.000000,0.318935,0,1,1.651
1960,2,5,1.168590,0.878716,0,0,1.651
1980,9,9,1.427742,0.923317,1,0,1.651
2000,1,-1,0.000000,0.467558,0,1,1.650
2020,9,9,2.443062,0.992718,1,0,1.652
2040,0,8,0.304336,0.619564,0,0,1.651
2060,5,5,0.799672,0.788049,1,0,1.651
2080,1,1,0.130000,0.551717,1,0,1.653
2100,2,4,0.124258,0.549444,0,0,1.651
2120,4,8,1.138368,0.872517,0,0,1.652
2140,9,9,1.387506,0.917356,1,0,1.652
2160,0,8,1.254851,0.895234,0,0,1.652
2180,4,4,0.674998,0.750162,1,0,1.652
2200,0,0,0.481927,0.685071,1,0,1.652
2220,1,1,1.624022,0.947814,1,0,1.653
2240,9,9,0.805419,0.789711,1,0,1.653
2260,4,-1,0.000000,0.251438,0,1,1.653
2280,4,8,0.213963,0.584712,0,0,1.653
2300,3,-1,0.000000,0.267801,0,1,1.653
2320,5,3,0.063928,0.525486,0,0,1.653
2340,7,7,1.637654,0.949253,1,0,1.654
2360,7,7,0.316545,0.624206,1,0,1.654
2380,8,8,0.757337,0.775576,1,0,1.653
2400,0,0,1.378766,0.916016,1,0,1.652
2420,8,-1,0.000000,0.287904,0,1,1.653
2440,7,7,0.508186,0.694339,1,0,1.653
2460,9,9,0.059505,0.523725,1,0,1.653
2480,8,8,1.193860,0.883734,1,0,1.653
2500,4,-1,0.000000,0.388838,0,1,1.652
2520,1,-1,0.000000,0.370452,0,1,1.652
2540,2,-1,0.000000,0.459414,0,1,1.652
2560,7,7,0.039143,0.515612,1,0,1.652
2580,6,-1,0.000000,0.423564,0,1,1.652
2600,8,8,2.492850,0.993664,1,0,1.652
2620,1,-1,0.000000,0.471536,0,1,1.652
2640,7,7,1.860521,0.968594,1,0,1.652
2660,3,-1,0.000000,0.430125,0,1,1.652
2680,0,0,2.182096,0.985449,1,0,1.652
2700,9,9,0.259994,0.602566,1,0,1.652
2720,3,-1,0.000000,0.264866,0,1,1.652
2740,1,1,0.152533,0.560617,1,0,1.652
2760,2,2,0.426857,0.665258,1,0,1.651
2780,7,7,2.070511,0.980798,1,0,1.653
2800,4,-1,0.000000,0.476154,0,1,1.653
2820,6,6,2.125162,0.983213,1,0,1.651
2840,3,3,2.202304,0.986178,1,0,1.653
2860,5,-1,0.000000,0.392231,0,1,1.652
2880,4,4,2.065227,0.980549,1,0,1.652
2900,3,5,0.138254,0.554980,0,0,1.653
2920,2,-1,0.000000,0.470776,0,1,1.653
2940,3,0,0.868430,0.807420,0,0,1.653
2960,9,9,0.474564,0.682451,1,0,1.653
2980,8,8,0.244463,0.596564,1,0,1.653
3000,5,5,2.432692,0.992506,1,0,1.654
3020,1,1,0.778310,0.781807,1,0,1.653
3040,7,7,3.357178,0.999606,1,0,1.654
3060,7,7,1.383387,0.916727,1,0,1.653
3080,1,-1,0.000000,0.274916,0,1,1.654
3100,0,0,1.788691,0.963168,1,0,1.653
3120,4,6,0.906525,0.817671,0,0,1.652
3140,8,8,1.087769,0.861651,1,0,1.654
3160,6,4,0.026976,0.510760,0,0,1.654
3180,3,-1,0.000000,0.396582,0,1,1.653
3200,5,7,0.468097,0.680142,0,0,1.653
3220,3,-1,0.000000,0.335716,0,1,1.653
3240,4,-1,0.000000,0.153433,0,1,1.653
3260,7,7,0.720840,0.764496,1,0,1.653
3280,3,5,0.509848,0.694921,0,0,1.652
3300,4,4,0.101280,0.540336,1,0,1.652
3320,2,7,1.448296,0.926233,0,0,1.652
3340,6,6,0.244928,0.596744,1,0,1.652
3360,4,6,0.134657,0.553559,0,0,1.653
3380,8,8,0.407814,0.658295,1,0,1.653
3400,6,4,1.353672,0.912080,0,0,1.653
3420,5,-1,0.000000,0.269244,0,1,1.653
3440,2,-1,0.000000,0.484721,0,1,1.653
3460,1,1,1.044722,0.851924,1,0,1.653
3480,2,2,2.711916,0.996655,1,0,1.653
3500,1,1,0.787052,0.784374,1,0,1.653
3520,1,1,1.818082,0.965474,1,0,1.653
3540,6,6,0.520570,0.698667,1,0,1.653
3560,1,-1,0.000000,0.478643,0,1,1.653
3580,4,-1,0.000000,0.325611,0,1,1.653
3600,4,2,0.240919,0.595191,0,0,1.653
3620,0,-1,0.000000,0.300877,0,1,1.652
3640,6,2,0.763401,0.777388,0,0,1.654
3660,0,-1,0.000000,0.421088,0,1,1.654
3680,0,-1,0.000000,0.361746,0,1,1.653
3700,3,3,0.356766,0.639367,1,0,1.653
3720,2,2,1.184652,0.881922,1,0,1.653
3740,0,0,0.930923,0.824053,1,0,1.653
3760,7,7,2.629268,0.995722,1,0,1.653
3780,4,-1,0.000000,0.480222,0,1,1.653
3800,9,9,0.283506,0.611605,1,0,1.654
3820,0,0,0.336267,0.631665,1,0,1.653
3840,6,3,0.845206,0.801002,0,0,1.653
3860,7,7,2.350983,0.990638,1,0,1.653
3880,6,4,0.142943,0.556832,0,0,1.653
3900,3,3,0.300443,0.618081,1,0,1.653
3920,7,-1,0.000000,0.466529,0,1,1.653
3940,6,-1,0.000000,0.321605,0,1,1.654
3960,2,2,0.729798,0.767243,1,0,1.654
3980,9,7,0.192458,0.576308,0,0,1.655
4000,8,-1,0.000000,0.302252,0,1,1.655
4020,8,8,0.475634,0.682833,1,0,1.653
4040,0,0,1.817009,0.965392,1,0,1.652
4060,6,3,0.560256,0.712348,0,0,1.652
4080,1,1,0.180529,0.571631,1,0,1.652
4100,7,7,2.975201,0.998536,1,0,1.652
4120,4,-1,0.000000,0.417813,0,1,1.653
4140,5,5,0.073606,0.529338,1,0,1.653
